,raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
192,27,5,1,3,5,4.0,67,0 days 01:31:33.285000,5493285.0,63.0,4.0,0 days 00:01:16.495000,215.261,1
193,27,8,6,6,6,3.0,67,0 days 01:31:35.277000,5495277.0,66.0,3.0,0 days 00:01:16.342000,215.692,1
194,27,9,2,7,7,2.0,67,0 days 01:31:43.556000,5503556.0,17.0,6.0,0 days 00:01:16.610000,214.937,1
195,27,20,5,9,8,1.0,67,0 days 01:31:54.173000,5514173.0,20.0,8.0,0 days 00:01:16.772000,214.484,1
196,27,15,7,4,9,0.0,67,0 days 01:31:58.032000,5518032.0,17.0,12.0,0 days 00:01:17.023000,213.785,1
197,27,3,3,13,10,0.0,67,0 days 01:31:58.499000,5518499.0,34.0,15.0,0 days 00:01:17.380000,212.799,1
198,27,4,4,5,11,0.0,67,0 days 01:31:59.474000,5519474.0,17.0,13.0,0 days 00:01:17.115000,213.53,1
199,27,7,5,15,12,0.0,67,0 days 01:31:59.985000,5519985.0,63.0,10.0,0 days 00:01:16.969000,213.935,1
200,27,14,9,10,13,0.0,67,0 days 01:32:15.845000,5535845.0,18.0,11.0,0 days 00:01:16.994000,213.86599999999999,1
201,27,6,3,16,14,0.0,67,0 days 01:32:20.877000,5540877.0,23.0,17.0,0 days 00:01:17.691000,211.947,1
202,27,16,10,19,15,0.0,67,0 days 01:32:30.362000,5550362.0,66.0,18.0,0 days 00:01:17.889000,211.408,1
203,27,21,10,20,16,0.0,67,0 days 01:32:44.967000,5564967.0,67.0,20.0,0 days 00:01:18.208000,210.546,1
204,27,18,11,14,17,0.0,66,0 days 00:00:00,,56.0,16.0,0 days 00:01:17.636000,212.097,11
205,27,22,11,18,18,0.0,50,0 days 00:00:00,,30.0,19.0,0 days 00:01:17.986000,211.145,4
206,27,17,9,8,19,0.0,40,0 days 00:00:00,,20.0,14.0,0 days 00:01:17.206000,213.278,5
207,27,10,7,11,20,0.0,35,0 days 00:00:00,,24.0,7.0,0 days 00:01:16.712000,214.65200000000002,22
208,28,5,1,2,1,10.0,70,0 days 01:37:27.067000,5847067.0,19.0,7.0,0 days 00:01:21.753000,192.917,1
209,28,10,7,5,2,8.0,70,0 days 01:37:38.128000,5858128.0,42.0,6.0,0 days 00:01:21.671000,193.111,1
210,28,8,6,6,3,6.0,70,0 days 01:37:43.923000,5863923.0,61.0,1.0,0 days 00:01:21.195000,194.243,1
211,28,4,4,7,4,5.0,70,0 days 01:37:48.681000,5868681.0,47.0,8.0,0 days 00:01:21.793000,192.82299999999998,1
212,28,1,1,1,5,4.0,70,0 days 01:37:50.115000,5870115.0,15.0,3.0,0 days 00:01:21.493000,193.533,1
213,28,12,4,10,6,3.0,70,0 days 01:37:59.365000,5879365.0,64.0,4.0,0 days 00:01:21.537000,193.428,1
214,28,15,7,9,7,2.0,70,0 days 01:38:03.516000,5883516.0,65.0,5.0,0 days 00:01:21.638000,193.18900000000002,1
215,28,9,2,4,8,1.0,70,0 days 01:38:15.388000,5895388.0,70.0,9.0,0 days 00:01:21.941000,192.475,1
216,28,17,9,8,9,0.0,70,0 days 01:38:25.901000,5905901.0,67.0,10.0,0 days 00:01:22.125000,192.043,1
217,28,2,2,15,10,0.0,70,0 days 01:38:34.776000,5914776.0,67.0,11.0,0 days 00:01:22.183000,191.908,1
218,28,14,9,13,11,0.0,70,0 days 01:38:37.474000,5917474.0,67.0,16.0,0 days 00:01:22.732000,190.63400000000001,1
219,28,18,11,12,12,0.0,69,0 days 00:00:00,,63.0,13.0,0 days 00:01:22.397000,191.40900000000002,11
220,28,6,3,16,13,0.0,69,0 days 00:00:00,,67.0,18.0,0 days 00:01:23.307000,189.31900000000002,11
221,28,3,3,14,14,0.0,69,0 days 00:00:00,,57.0,12.0,0 days 00:01:22.397000,191.40900000000002,11
